date_time,power,windspeed,tem,hum,pressure,precipitation,wind_dir
12/11 19h,0.235676283,6.163123219,24.41954956,88.92723402,1011.468516,0,83.33818817
12/11 20h,0.181320742,5.644641943,24.29613647,89.46717161,1011.581797,0,94.24815369
12/11 21h,0.132250373,5.116925571,23.90508423,91.44229269,1011.608281,0,104.4898682
12/11 22h,0.095076253,4.59807618,23.69631348,92.66486419,1011.424766,0,111.4829788
12/11 23h,0.068997242,4.199440496,23.5760437,93.23810701,1011.259219,0,117.208786
12/12 0h,0.04746542,3.812323539,23.29155884,94.48088862,1011.250547,0,120.1153107
12/12 1h,0.033014619,3.494068714,23.15007935,95.00004716,1010.997578,0,116.1638184
12/12 2h,0.01949156,3.19641277,23.07436523,96.07005137,1010.867031,0,107.2428284
12/12 3h,0.009007903,2.851680204,22.76870117,97.62650633,1010.892891,0,106.1128082
12/12 4h,0.006238756,2.589977367,22.93413696,96.32523724,1011.259219,0,101.0406799
12/12 5h,0.006447345,2.609400212,22.92855225,96.20020858,1011.73875,0.001973473,73.43429565
12/12 6h,0.00939012,2.888065335,23.29561768,93.86987786,1012.401797,0.018620398,75.28816223
12/12 7h,0.024291028,3.30203261,23.78481445,92.8161422,1013.255078,0.033151824,74.83175659
12/12 8h,0.045870464,3.777599335,24.18428955,90.5849179,1013.894141,0.065317843,71.04303741
12/12 9h,0.041419231,3.682569822,25.31258545,84.68813708,1014.419297,0.027226284,65.60288239
12/12 10h,0.051598206,3.907713834,25.36367188,84.2483585,1014.357734,0.004089437,63.09345245
12/12 11h,0.075149191,4.298067874,25.53786621,83.57909676,1013.806719,0.002114102,62.30465698
12/12 12h,0.121395496,5.005780821,25.45559082,82.77757751,1012.975,0.015093479,65.24889374
12/12 13h,0.201029131,5.861893834,25.29418335,83.49881942,1012.126016,0.034139492,65.44621277
12/12 14h,0.30489613,6.698012515,25.09569702,85.18139315,1011.635313,0.006064773,65.07497406
12/12 15h,0.318158959,6.795411353,24.59246216,86.97147477,1011.732031,0.00310177,63.05587769
12/12 16h,0.26615473,6.395784431,24.46938477,87.46570431,1011.977031,0,62.35295868
12/12 17h,0.114670697,4.894947276,23.72811279,91.67650447,1012.939922,0,58.85577393
12/12 18h,0.137328624,5.168092279,23.7081543,92.15733655,1013.114766,0,61.46933746
12/12 19h,0.173064527,5.548706043,23.69133911,92.52052122,1013.587578,0,66.83994293
12/12 20h,0.201863453,5.855803016,23.77483521,91.50382454,1013.990156,0,72.33679962
12/12 21h,0.244281303,6.218955772,23.68135986,90.57838665,1014.384219,0.002114102,75.1211319
12/12 22h,0.277930455,6.476040909,23.77608643,89.95109197,1014.305391,0.006064773,75.82080078
12/12 23h,0.290015711,6.569159266,23.89388428,88.7679926,1014.226563,0.011143275,74.71205139
12/13 0h,0.322122814,6.81438753,23.81160889,88.33330433,1013.736563,0.010155607,74.50475311
12/13 1h,0.347884711,7.009406825,23.88390503,88.2511475,1013.290156,0.014106277,73.58717346
12/13 2h,0.381592327,7.202297108,23.90227661,88.3045281,1012.896172,0.011143275,71.45101166
12/13 3h,0.408914652,7.358167932,23.91069946,88.70582474,1012.817344,0.021160115,70.64637756
12/13 4h,0.410018941,7.364349909,23.87111816,89.95888955,1012.729922,0.019184779,69.97557831
12/13 5h,0.40648755,7.342002102,23.77608643,89.26106212,1013.377578,0.015093479,67.82527924
12/13 6h,0.341484955,6.963290905,23.98018799,88.5693583,1013.806719,0.041193329,68.2937851
12/13 7h,0.363098148,7.093684947,24.06713257,89.27389167,1015.049063,0.093251467,73.14704132
12/13 8h,0.537618358,8.068956603,24.32232056,87.3899729,1015.2325,0.108770095,81.07784271
12/13 9h,0.589023177,8.302638783,25.10256348,84.36632696,1015.950391,0.075475313,86.92485046
12/13 10h,0.476890857,7.750542195,25.36647949,83.78285103,1015.836484,0.080130994,88.92619324
12/13 11h,0.380924315,7.205010623,25.55251465,83.09211179,1015.460313,0.104114413,86.19979858
12/13 12h,0.345269914,7.00562523,25.90740356,82.1803037,1014.462344,0.078579411,81.87653351
12/13 13h,0.361163635,7.100338688,26.19439087,80.54955013,1013.622031,0.101857353,80.24140167
12/13 14h,0.398054158,7.313681167,26.22338257,80.83169606,1012.948516,0.059815589,82.15523529
12/13 15h,0.412555025,7.394018426,25.79491577,83.28921648,1012.737969,0.038935803,81.58360291
12/13 16h,0.407519359,7.364439972,25.72261963,83.53847792,1012.799531,0.060662162,83.44609833
12/13 17h,0.335072432,6.922015124,24.81713257,88.69438007,1013.639844,0.051350798,84.4460144
12/13 18h,0.328044704,6.866097404,24.68563232,88.91852067,1014.059766,0.01720991,86.27852631
12/13 19h,0.290230455,6.575453225,24.60369263,89.37545395,1014.515313,0.024969224,87.82926941
12/13 20h,0.222894909,6.05984644,24.49120483,90.15436948,1014.908672,0.083940104,88.47370911
12/13 21h,0.267699241,6.399416987,24.34972534,91.04246385,1015.600703,0.128944404,87.92700958
12/13 22h,0.296015717,6.614859824,24.28182373,91.86069741,1015.556328,0.128944404,88.17048645
12/13 23h,0.29206612,6.583815522,24.16652832,92.39054949,1015.591484,0.088595785,86.56201172
12/14 0h,0.366211693,7.110787733,24.02504883,92.84922196,1015.198047,0.141500495,83.06768036
12/14 1h,0.386217651,7.226463041,24.19674072,91.30624318,1014.891484,0.256339088,81.89389801
12/14 2h,0.45559289,7.623081909,24.26311646,91.29701165,1014.392813,0.114272349,88.15865326
12/14 3h,0.478945846,7.756128877,24.1362854,93.36554215,1013.937188,0.059110112,96.70410156
12/14 4h,0.446175788,7.568284334,23.87798462,94.81234095,1013.552422,0.015657861,101.868927
12/14 5h,0.335788324,6.920042347,23.96459351,93.50429557,1013.675,0.003242865,111.9473267
12/14 6h,0.321823706,6.812921989,23.89699707,93.80680446,1013.692188,0.00084471,112.9923935
12/14 7h,0.36261109,7.093179857,24.12197266,92.76698063,1014.129922,0.003948342,113.7811127
12/14 8h,0.396688283,7.289506937,24.5236145,91.10713833,1014.455,0.024828129,113.2533722
12/14 9h,0.353748228,7.049518289,25.49547729,86.37171202,1015.386406,0.047400594,108.8659286
